,Average Weekly Hours of All Employees: Total Private,Value of Manufacturers' New Orders for Consumer Goods: Consumer Durable Goods Industries,"Vendor Performance, Percent Reporting Slower Deliveries for United States",Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,New Private Housing Units Authorized by Building Permits,Average (Mean) Duration of Unemployment,"Commercial and Industrial Loans, All Commercial Banks",month
2014-06-01,34.5,35780.0,,69424.0,1003.0,33.9,1676.9617,2014-06-01
2014-07-01,34.5,38570.0,,67521.0,1073.0,32.7,1694.9863,2014-07-01
2014-08-01,34.6,36571.0,,68353.0,1047.0,32.0,1712.3078,2014-08-01
2014-09-01,34.5,36913.0,,69215.0,1076.0,31.9,1725.4348,2014-09-01
2014-10-01,34.6,37302.0,,65372.0,1100.0,32.3,1729.5309,2014-10-01
2014-11-01,34.6,36791.0,,64362.0,1062.0,32.7,1751.3379,2014-11-01
2014-12-01,34.6,38140.0,,65561.0,1074.0,32.7,1773.5443,2014-12-01
2015-01-01,34.5,35825.0,,65854.0,1057.0,31.9,1791.2859,2015-01-01
2015-02-01,34.6,35693.0,,64254.0,1131.0,31.2,1807.7031,2015-02-01
2015-03-01,34.5,38740.0,,64321.0,1071.0,30.5,1834.3429,2015-03-01
2015-04-01,34.5,37706.0,,63970.0,1161.0,30.9,1847.9066,2015-04-01
2015-05-01,34.5,38368.0,,62649.0,1270.0,30.7,1863.9023,2015-05-01
2015-06-01,34.5,39210.0,,63225.0,1367.0,28.4,1880.8777,2015-06-01
2015-07-01,34.5,40096.0,,63979.0,1136.0,28.1,1890.1728,2015-07-01
2015-08-01,34.6,39037.0,,63465.0,1166.0,28.3,1904.4622,2015-08-01
2015-09-01,34.5,39684.0,,63285.0,1143.0,26.0,1914.7348,2015-09-01
2015-10-01,34.6,38747.0,,63011.0,1165.0,27.5,1927.5008,2015-10-01
2015-11-01,34.5,39538.0,,62254.0,1251.0,27.9,1945.362,2015-11-01
2015-12-01,34.5,39018.0,,59922.0,1213.0,27.8,1953.3169,2015-12-01
2016-01-01,34.6,39969.0,,61849.0,1176.0,29.1,1963.0758,2016-01-01
2016-02-01,34.4,40544.0,,60788.0,1192.0,29.1,1986.2564,2016-02-01
2016-03-01,34.4,39058.0,,60517.0,1113.0,28.4,2018.5039,2016-03-01
2016-04-01,34.4,39955.0,,60503.0,1152.0,28.2,2034.062,2016-04-01
2016-05-01,34.4,38430.0,,59218.0,1188.0,26.9,2049.4868,2016-05-01
2016-06-01,34.4,39044.0,,59724.0,1196.0,28.1,2052.9931,2016-06-01
2016-07-01,34.4,39954.0,,60456.0,1187.0,27.9,2059.8274,2016-07-01
2016-08-01,34.3,39832.0,,61821.0,1207.0,27.3,2053.5186,2016-08-01
2016-09-01,34.4,40075.0,,60102.0,1283.0,26.8,2069.0221,2016-09-01
2016-10-01,34.4,39582.0,,60055.0,1281.0,26.4,2081.1498,2016-10-01
2016-11-01,34.3,39215.0,,60578.0,1246.0,25.8,2086.3677,2016-11-01
2016-12-01,34.4,40337.0,,60470.0,1257.0,26.1,2080.7933,2016-12-01
2017-01-01,34.4,40311.0,,62355.0,1321.0,25.0,2080.1662,2017-01-01
2017-02-01,34.3,39374.0,,62687.0,1247.0,25.3,2080.3801,2017-02-01
2017-03-01,34.3,38883.0,,63108.0,1286.0,25.4,2065.6408,2017-03-01
2017-04-01,34.4,38383.0,,63572.0,1245.0,24.4,2069.8661,2017-04-01
2017-05-01,34.4,40081.0,,63719.0,1201.0,25.0,2075.1288,2017-05-01
2017-06-01,34.4,39812.0,,63456.0,1317.0,25.1,2077.7972,2017-06-01
2017-07-01,34.4,38739.0,,64123.0,1255.0,24.9,2081.1444,2017-07-01
2017-08-01,34.4,39896.0,,64555.0,1315.0,24.3,2089.1515,2017-08-01
2017-09-01,34.3,39617.0,,68024.0,1261.0,26.4,2102.2563,2017-09-01
2017-10-01,34.4,40044.0,,67140.0,1349.0,25.5,2105.9593,2017-10-01
2017-11-01,34.5,40832.0,,65101.0,1314.0,25.1,2101.8195,2017-11-01
2017-12-01,34.5,40151.0,,66707.0,1315.0,23.8,2103.073,2017-12-01
2018-01-01,34.4,41014.0,,66237.0,1384.0,23.9,2105.4828,2018-01-01
2018-02-01,34.5,41722.0,,67522.0,1339.0,22.9,2108.3058,2018-02-01
2018-03-01,34.5,42111.0,,66828.0,1406.0,24.2,2123.9696,2018-03-01
2018-04-01,34.5,42643.0,,67882.0,1376.0,23.0,2171.4872,2018-04-01
2018-05-01,34.5,39641.0,,68034.0,1321.0,21.3,2178.2567,2018-05-01
2018-06-01,34.5,42283.0,,68784.0,1306.0,21.2,2197.4494,2018-06-01
2018-07-01,34.5,44438.0,,69973.0,1316.0,23.1,2212.04,2018-07-01
2018-08-01,34.5,43186.0,,69477.0,1267.0,22.6,2215.8684,2018-08-01
2018-09-01,34.5,43479.0,,69184.0,1288.0,24.1,2222.7,2018-09-01
2018-10-01,34.5,43968.0,,69904.0,1281.0,22.4,2237.3772,2018-10-01
2018-11-01,34.4,44248.0,,69052.0,1334.0,21.7,2264.2834,2018-11-01
2018-12-01,34.5,44718.0,,67964.0,1339.0,21.8,2297.8156,2018-12-01
2019-01-01,34.5,44187.0,,68935.0,1316.0,20.5,2314.9866,2019-01-01
2019-02-01,34.4,44117.0,,69166.0,1287.0,21.7,2323.5995,2019-02-01
2019-03-01,34.5,44069.0,,69396.0,1288.0,22.2,2335.9146,2019-03-01
2019-04-01,34.4,42909.0,,68629.0,1290.0,22.9,2336.5364,2019-04-01
2019-05-01,34.4,43482.0,,68794.0,1299.0,24.1,2338.7664,2019-05-01
2019-06-01,34.4,45015.0,,69806.0,1232.0,22.2,2344.8313,2019-06-01
2019-07-01,34.3,,,,1317.0,19.6,2352.9589,2019-07-01
